return_id,order_id,product_id,market_id,customer_id,return_date,return_quantity,return_reason,return_type,refund_amount_usd,return_shipping_cost_usd,net_loss_usd,processing_status,days_to_return,is_first_return,return_month,return_year
6793,160272,P026,M03,C0070,2022-04-15,3,Customer Changed Mind,Partial Return,168.0,14.0,182.0,Refund Processed,8,N,4,2022
6794,425318,P025,M01,C0076,2022-01-17,10,Wrong Product Shipped,Full Return,255.0,24.57,279.57,Pending Investigation,7,Y,1,2022
6795,88586,P014,M15,C0160,2022-09-09,13,Damaged in Transit,Exchange,302.64,19.06,321.7,Refund Processed,31,Y,9,2022
6796,299669,P031,M13,C0032,2022-12-22,4,Damaged in Transit,Partial Return,84.0,3.98,87.98,Replacement Sent,7,Y,12,2022
6797,347205,P026,M02,C0047,2023-01-31,6,Packaging Damaged,Partial Return,329.28,27.77,357.05,Refund Processed,14,N,1,2023
6798,287340,P014,M05,C0291,2024-06-04,17,Damaged in Transit,Partial Return,367.2,21.78,388.98,Refund Processed,13,Y,6,2024
6799,335589,P010,M03,C0070,2024-11-08,10,Damaged in Transit,Exchange,368.6,21.82,390.42,Refund Processed,44,N,11,2024
6800,39303,P026,M01,C0131,2022-03-04,3,Damaged in Transit,Full Return,164.64,13.56,178.2,Refund Processed,36,Y,3,2022
6801,279138,P030,M13,C0154,2023-12-18,8,Customer Changed Mind,Full Return,120.0,6.9,126.9,Refund Processed,43,N,12,2023
6802,106261,P040,M04,C0196,2022-12-10,3,Customer Changed Mind,Full Return,204.0,10.74,214.74,Refund Processed,35,Y,12,2022
6803,499463,P029,M13,C0250,2022-05-23,6,Wrong Product Shipped,Partial Return,129.36,12.75,142.11,Under Review,9,Y,5,2022
6804,349043,P032,M16,C0274,2022-09-14,6,Wrong Product Shipped,Full Return,194.04,16.43,210.47,Under Review,28,N,9,2022
6805,371557,P007,M19,C0140,2024-08-27,4,Packaging Damaged,Exchange,48.0,3.75,51.75,Refund Processed,34,N,8,2024
6806,327032,P010,M01,C0146,2022-02-23,7,Quality Below Expectation,Full Return,247.38,12.43,259.81,Replacement Sent,41,Y,2,2022
6807,101187,P036,M06,C0289,2024-07-07,3,Customer Changed Mind,Full Return,64.68,3.97,68.65,Refund Processed,46,Y,7,2024
6808,299036,P035,M14,C0158,2023-10-27,15,Packaging Damaged,Partial Return,249.9,22.73,272.63,Under Review,41,N,10,2023
6809,391281,P019,M01,C0277,2022-05-08,13,Quality Below Expectation,Partial Return,325.0,20.06,345.06,Replacement Sent,24,Y,5,2022
6810,419201,P006,M09,C0246,2025-01-25,13,Customer Changed Mind,Full Return,193.44,16.42,209.86,Refund Processed,41,N,1,2025
6811,275079,P005,M08,C0087,2023-10-04,5,Customer Changed Mind,Partial Return,114.4,8.67,123.07,Refund Processed,25,Y,10,2023
6812,448252,P008,M12,C0221,2023-07-26,11,Not As Described,Exchange,150.92,10.34,161.26,Under Review,34,Y,7,2023
6813,443972,P009,M15,C0056,2022-12-22,15,Packaging Damaged,Partial Return,285.0,14.44,299.44,Replacement Sent,19,Y,12,2022
6814,257158,P026,M09,C0201,2022-03-09,3,Wrong Product Shipped,Exchange,151.2,6.15,157.35,Refund Denied,45,Y,3,2022
6815,274453,P026,M06,C0008,2022-04-09,14,Quality Below Expectation,Partial Return,744.8,35.4,780.2,Replacement Sent,18,N,4,2022
6816,439710,P027,M01,C0129,2023-09-18,13,Quality Below Expectation,Exchange,423.15,18.34,441.49,Refund Processed,16,Y,9,2023
6817,418184,P013,M15,C0253,2023-09-20,20,Damaged in Transit,Full Return,400.0,35.04,435.04,Refund Denied,49,Y,9,2023
6818,187940,P032,M15,C0145,2022-07-17,7,Customer Changed Mind,Full Return,231.0,14.89,245.89,Pending Investigation,41,N,7,2022
6819,106152,P003,M01,C0146,2023-08-26,17,Customer Changed Mind,Partial Return,383.18,37.51,420.69,Refund Processed,50,Y,8,2023
6820,33254,P002,M08,C0212,2023-10-13,10,Packaging Damaged,Full Return,200.0,18.22,218.22,Under Review,33,Y,10,2023
6821,182837,P009,M05,C0033,2022-07-19,4,Quality Below Expectation,Partial Return,73.72,3.36,77.08,Refund Processed,42,Y,7,2022
6822,434134,P018,M04,C0191,2023-11-01,11,Customer Changed Mind,Partial Return,138.71,8.66,147.37,Refund Processed,30,Y,11,2023
6823,492040,P002,M07,C0100,2024-09-27,19,Wrong Product Shipped,Full Return,334.4,22.95,357.35,Refund Processed,43,Y,9,2024
6824,85256,P032,M07,C0188,2023-11-08,3,Quality Below Expectation,Full Return,89.1,7.81,96.91,Refund Processed,41,N,11,2023
6825,233938,P005,M19,C0052,2024-12-05,15,Damaged in Transit,Exchange,331.5,16.32,347.82,Pending Investigation,19,Y,12,2024
6826,319894,P025,M01,C0071,2024-04-02,4,Quality Below Expectation,Partial Return,114.0,8.98,122.98,Replacement Sent,44,Y,4,2024
6827,316725,P002,M02,C0158,2022-07-16,3,Damaged in Transit,Full Return,58.8,4.24,63.04,Under Review,15,Y,7,2022
6828,12418,P035,M06,C0187,2023-06-13,4,Damaged in Transit,Full Return,64.6,6.35,70.95,Refund Denied,34,Y,6,2023
6829,453981,P022,M03,C0059,2023-06-23,9,Customer Changed Mind,Partial Return,126.72,5.72,132.44,Refund Denied,17,Y,6,2023
6830,285219,P020,M14,C0294,2024-02-29,11,Quality Below Expectation,Full Return,237.16,12.65,249.81,Refund Processed,25,N,2,2024
6831,128287,P011,M12,C0202,2024-08-13,8,Damaged in Transit,Partial Return,357.12,19.65,376.77,Under Review,10,Y,8,2024
6832,42442,P015,M03,C0267,2024-10-19,4,Quality Below Expectation,Partial Return,61.2,4.7,65.9,Under Review,7,Y,10,2024
6833,221204,P039,M02,C0155,2023-12-10,3,Quality Below Expectation,Partial Return,135.24,13.3,148.54,Refund Processed,52,Y,12,2023
6834,172139,P002,M03,C0245,2022-04-01,5,Quality Below Expectation,Full Return,95.0,6.42,101.42,Refund Processed,25,Y,4,2022
6835,107765,P019,M15,C0002,2023-07-28,6,Customer Changed Mind,Partial Return,145.5,6.45,151.95,Refund Processed,8,Y,7,2023
6836,74281,P005,M04,C0258,2024-02-28,6,Quality Below Expectation,Partial Return,148.2,11.21,159.41,Refund Processed,48,Y,2,2024
6837,13958,P011,M03,C0046,2023-01-04,3,Quality Below Expectation,Exchange,129.6,6.57,136.17,Refund Processed,17,Y,1,2023
6838,404187,P032,M04,C0153,2023-04-11,5,Damaged in Transit,Partial Return,160.05,15.66,175.71,Refund Processed,34,Y,4,2023
6839,44600,P036,M02,C0084,2024-09-07,7,Quality Below Expectation,Exchange,146.3,9.57,155.87,Under Review,34,N,9,2024
6840,181226,P038,M05,C0023,2023-02-03,8,Quality Below Expectation,Partial Return,196.0,18.73,214.73,Refund Processed,37,N,2,2023
6841,420186,P025,M05,C0096,2024-06-23,16,Customer Changed Mind,Exchange,446.4,43.88,490.28,Pending Investigation,40,N,6,2024
6842,461502,P020,M07,C0081,2022-07-10,4,Damaged in Transit,Full Return,88.0,8.22,96.22,Refund Processed,54,Y,7,2022
6843,395007,P006,M08,C0029,2023-01-30,3,Customer Changed Mind,Full Return,45.6,4.46,50.06,Pending Investigation,50,Y,1,2023
6844,304601,P024,M04,C0260,2024-02-23,7,Quality Below Expectation,Full Return,208.32,19.78,228.1,Refund Processed,21,N,2,2024
6845,151425,P008,M11,C0195,2024-09-24,4,Wrong Product Shipped,Full Return,54.88,4.91,59.79,Refund Processed,19,Y,9,2024
6846,132056,P035,M16,C0080,2023-10-31,27,Damaged in Transit,Partial Return,426.87,24.31,451.18,Refund Processed,7,N,10,2023
6847,285989,P025,M07,C0237,2024-10-29,6,Packaging Damaged,Partial Return,176.4,14.83,191.23,Refund Processed,27,Y,10,2024
6848,186896,P019,M05,C0088,2023-05-17,19,Quality Below Expectation,Full Return,475.0,38.82,513.82,Pending Investigation,26,N,5,2023
6849,449664,P027,M02,C0042,2022-11-23,5,Customs Rejected,Full Return,175.0,15.29,190.29,Refund Processed,49,N,11,2022
6850,446210,P024,M13,C0092,2022-10-18,4,Damaged in Transit,Full Return,125.44,5.13,130.57,Refund Processed,46,Y,10,2022
6851,112407,P025,M07,C0255,2024-12-12,3,Packaging Damaged,Partial Return,83.7,6.62,90.32,Refund Processed,23,Y,12,2024
6852,21197,P024,M12,C0063,2024-06-29,16,Packaging Damaged,Partial Return,476.16,21.84,498.0,Under Review,40,Y,6,2024
6853,35437,P019,M12,C0036,2023-12-08,51,Wrong Product Shipped,Full Return,1275.0,89.57,1364.57,Replacement Sent,49,Y,12,2023
6854,409305,P003,M01,C0069,2023-05-09,7,Wrong Product Shipped,Full Return,156.17,15.09,171.26,Under Review,30,Y,5,2023
6855,378521,P011,M01,C0224,2024-11-05,4,Quality Below Expectation,Full Return,186.24,14.75,200.99,Refund Processed,10,Y,11,2024
6856,458379,P022,M03,C0120,2024-03-29,3,Wrong Product Shipped,Full Return,46.56,2.95,49.51,Replacement Sent,18,Y,3,2024
6857,382147,P037,M03,C0289,2022-06-20,12,Customer Changed Mind,Exchange,141.12,5.73,146.85,Refund Processed,53,Y,6,2022
6858,385126,P027,M02,C0182,2022-09-02,11,Quality Below Expectation,Full Return,385.0,35.52,420.52,Refund Processed,16,Y,9,2022
6859,387976,P009,M04,C0125,2024-06-07,31,Quality Below Expectation,Partial Return,559.55,37.92,597.47,Under Review,33,N,6,2024
6860,26972,P006,M06,C0135,2024-10-27,29,Damaged in Transit,Partial Return,454.72,33.04,487.76,Refund Processed,21,N,10,2024
6861,223615,P021,M10,C0247,2022-03-03,4,Quality Below Expectation,Full Return,69.84,3.37,73.21,Refund Processed,38,Y,3,2022
6862,251573,P008,M16,C0194,2024-11-01,11,Damaged in Transit,Full Return,154.0,10.06,164.06,Refund Processed,22,Y,11,2024
6863,292499,P027,M03,C0152,2024-02-04,4,Damaged in Transit,Full Return,130.2,6.08,136.28,Pending Investigation,8,N,2,2024
6864,211243,P037,M06,C0286,2023-01-21,3,Wrong Product Shipped,Full Return,35.28,2.7,37.98,Refund Processed,10,N,1,2023
6865,205408,P022,M05,C0165,2024-12-13,4,Wrong Product Shipped,Partial Return,62.08,3.57,65.65,Under Review,18,N,12,2024
6866,132036,P002,M10,C0251,2022-02-26,4,Customer Changed Mind,Partial Return,74.4,5.76,80.16,Refund Processed,29,N,2,2022
6867,117543,P040,M07,C0246,2022-06-19,7,Customer Changed Mind,Partial Return,466.48,21.11,487.59,Refund Processed,44,Y,6,2022
6868,254704,P003,M10,C0136,2024-02-12,4,Customer Changed Mind,Partial Return,82.8,4.91,87.71,Replacement Sent,35,N,2,2024
6869,453896,P026,M18,C0068,2023-05-21,19,Quality Below Expectation,Full Return,1064.0,71.04,1135.04,Under Review,9,N,5,2023
6870,461557,P035,M18,C0064,2023-05-29,9,Not As Described,Partial Return,130.05,6.58,136.63,Replacement Sent,29,Y,5,2023
6871,399461,P006,M01,C0226,2023-12-15,12,Not As Described,Partial Return,192.0,9.36,201.36,Refund Processed,13,Y,12,2023
6872,335464,P017,M08,C0034,2022-06-16,11,Wrong Product Shipped,Exchange,176.0,12.48,188.48,Refund Denied,50,Y,6,2022
6873,457105,P014,M03,C0123,2022-05-24,9,Wrong Product Shipped,Full Return,183.6,7.72,191.32,Refund Denied,35,Y,5,2022
6874,374437,P030,M04,C0143,2023-01-09,6,Not As Described,Exchange,90.0,5.2,95.2,Replacement Sent,19,Y,1,2023
6875,484656,P016,M03,C0123,2024-09-27,8,Customs Rejected,Partial Return,125.44,10.04,135.48,Refund Processed,37,Y,9,2024
6876,1196,P005,M08,C0184,2023-03-06,14,Wrong Product Shipped,Full Return,338.52,13.65,352.17,Pending Investigation,12,N,3,2023
6877,125335,P020,M16,C0213,2024-05-11,4,Wrong Product Shipped,Full Return,86.24,6.81,93.05,Refund Processed,45,N,5,2024
6878,82082,P029,M17,C0132,2024-01-26,6,Wrong Product Shipped,Full Return,129.36,12.28,141.64,Refund Processed,18,Y,1,2024
6879,237626,P028,M02,C0228,2024-09-01,16,Wrong Product Shipped,Exchange,345.6,14.56,360.16,Refund Processed,44,Y,9,2024
6880,24599,P005,M01,C0005,2025-02-15,15,Quality Below Expectation,Full Return,382.2,18.01,400.21,Pending Investigation,49,Y,2,2025
6881,244954,P015,M01,C0085,2023-01-18,6,Not As Described,Full Return,102.0,6.11,108.11,Refund Processed,38,N,1,2023
6882,295780,P003,M13,C0128,2022-04-30,7,Damaged in Transit,Full Return,161.0,12.33,173.33,Refund Processed,21,Y,4,2022
6883,421900,P004,M04,C0199,2023-10-20,7,Wrong Product Shipped,Partial Return,122.22,9.96,132.18,Refund Processed,15,Y,10,2023
6884,113402,P028,M01,C0225,2023-02-04,17,Quality Below Expectation,Full Return,367.2,31.65,398.85,Refund Processed,16,N,2,2023
6885,71236,P008,M07,C0101,2022-10-28,10,Customer Changed Mind,Partial Return,135.8,5.92,141.72,Refund Processed,11,Y,10,2022
6886,401015,P003,M07,C0051,2022-08-02,14,Packaging Damaged,Full Return,322.0,18.52,340.52,Under Review,35,N,8,2022
6887,403429,P005,M01,C0106,2023-07-05,5,Not As Described,Partial Return,127.4,5.71,133.11,Pending Investigation,23,Y,7,2023
6888,307204,P006,M14,C0137,2022-07-01,11,Quality Below Expectation,Full Return,167.2,15.26,182.46,Under Review,28,Y,7,2022
6889,477483,P028,M06,C0155,2024-03-17,6,Wrong Product Shipped,Exchange,139.68,8.17,147.85,Pending Investigation,39,N,3,2024
6890,113945,P014,M01,C0099,2023-08-06,19,Customer Changed Mind,Partial Return,456.0,32.31,488.31,Pending Investigation,51,Y,8,2023
6891,419227,P029,M03,C0174,2025-01-08,6,Damaged in Transit,Partial Return,122.76,9.94,132.7,Refund Processed,34,N,1,2025
6892,111167,P037,M02,C0069,2022-08-11,8,Damaged in Transit,Full Return,94.08,7.18,101.26,Refund Processed,45,N,8,2022
6893,68211,P038,M07,C0028,2022-04-12,14,Quality Below Expectation,Partial Return,325.5,22.2,347.7,Replacement Sent,44,N,4,2022
6894,373127,P039,M06,C0042,2024-02-24,6,Customer Changed Mind,Full Return,270.48,20.78,291.26,Refund Processed,40,Y,2,2024
6895,157592,P034,M17,C0031,2022-09-05,8,Damaged in Transit,Partial Return,133.92,5.88,139.8,Refund Processed,16,Y,9,2022
6896,64457,P032,M02,C0003,2023-08-29,8,Not As Described,Partial Return,258.72,13.71,272.43,Refund Processed,26,N,8,2023
6897,303395,P022,M08,C0097,2022-09-14,8,Not As Described,Partial Return,119.04,5.0,124.04,Under Review,53,N,9,2022
6898,449526,P024,M02,C0081,2022-12-30,7,Damaged in Transit,Full Return,212.8,16.11,228.91,Under Review,7,Y,12,2022
6899,259878,P039,M09,C0099,2022-04-05,4,Customer Changed Mind,Partial Return,171.12,6.96,178.08,Replacement Sent,13,N,4,2022
6900,180685,P018,M07,C0128,2024-09-02,10,Wrong Product Shipped,Partial Return,117.0,8.07,125.07,Replacement Sent,34,Y,9,2024
6901,154021,P035,M02,C0003,2022-05-27,14,Damaged in Transit,Partial Return,238.0,20.0,258.0,Refund Processed,54,Y,5,2022
6902,141176,P032,M14,C0063,2025-01-20,10,Customer Changed Mind,Full Return,330.0,23.56,353.56,Refund Processed,42,N,1,2025
6903,360916,P026,M02,C0096,2022-07-20,16,Quality Below Expectation,Exchange,833.28,71.46,904.74,Pending Investigation,19,Y,7,2022
6904,250277,P033,M01,C0190,2023-10-19,7,Quality Below Expectation,Partial Return,162.96,15.11,178.07,Replacement Sent,12,N,10,2023
6905,205857,P033,M08,C0298,2022-05-10,12,Packaging Damaged,Full Return,273.6,25.27,298.87,Refund Processed,51,Y,5,2022
6906,41819,P030,M17,C0252,2022-04-30,13,Wrong Product Shipped,Exchange,189.15,15.27,204.42,Pending Investigation,45,Y,4,2022
6907,223417,P031,M03,C0108,2023-06-10,3,Quality Below Expectation,Full Return,63.0,2.7,65.7,Refund Processed,7,N,6,2023
6908,382774,P026,M12,C0292,2022-05-11,4,Quality Below Expectation,Full Return,224.0,20.71,244.71,Refund Processed,7,Y,5,2022
6909,203664,P027,M01,C0102,2024-09-14,13,Quality Below Expectation,Partial Return,441.35,42.97,484.32,Refund Processed,49,N,9,2024
6910,302085,P012,M02,C0196,2022-07-28,16,Packaging Damaged,Full Return,341.44,17.69,359.13,Refund Processed,9,Y,7,2022
6911,237212,P010,M01,C0209,2022-08-01,13,Quality Below Expectation,Full Return,484.12,26.19,510.31,Refund Processed,26,Y,8,2022
6912,306414,P021,M19,C0030,2024-01-14,5,Customer Changed Mind,Exchange,79.2,6.43,85.63,Replacement Sent,54,Y,1,2024
6913,296176,P031,M04,C0201,2022-06-16,6,Customer Changed Mind,Full Return,119.7,10.88,130.58,Refund Processed,13,N,6,2022
6914,313137,P019,M08,C0159,2022-07-03,6,Damaged in Transit,Full Return,139.5,6.56,146.06,Refund Processed,8,Y,7,2022
6915,117269,P036,M01,C0067,2024-10-10,8,Customer Changed Mind,Full Return,154.88,14.25,169.13,Pending Investigation,8,Y,10,2024
6916,66917,P025,M06,C0156,2022-10-10,4,Packaging Damaged,Full Return,114.0,5.06,119.06,Refund Denied,49,Y,10,2022
6917,420470,P015,M07,C0056,2023-11-14,6,Damaged in Transit,Full Return,89.76,7.5,97.26,Refund Processed,38,Y,11,2023
6918,27678,P005,M02,C0032,2022-12-25,3,Customer Changed Mind,Full Return,74.1,4.21,78.31,Replacement Sent,45,Y,12,2022
6919,416433,P014,M03,C0083,2024-02-01,4,Quality Below Expectation,Full Return,96.0,4.84,100.84,Pending Investigation,43,N,2,2024
6920,100198,P027,M01,C0204,2023-04-29,4,Customer Changed Mind,Full Return,140.0,6.94,146.94,Refund Processed,41,Y,4,2023
6921,114300,P019,M01,C0254,2024-07-07,31,Wrong Product Shipped,Full Return,736.25,63.91,800.16,Refund Processed,50,Y,7,2024
6922,208356,P014,M05,C0167,2025-01-07,4,Customer Changed Mind,Partial Return,89.28,4.22,93.5,Pending Investigation,40,Y,1,2025
6923,330607,P037,M05,C0129,2023-08-24,5,Quality Below Expectation,Partial Return,55.8,2.45,58.25,Replacement Sent,34,N,8,2023
6924,415846,P022,M03,C0227,2024-09-10,5,Quality Below Expectation,Full Return,78.4,5.57,83.97,Under Review,27,Y,9,2024
6925,300454,P005,M01,C0175,2022-09-16,12,Packaging Damaged,Exchange,296.4,20.34,316.74,Refund Processed,12,Y,9,2022
6926,26589,P020,M01,C0265,2025-01-08,4,Wrong Product Shipped,Full Return,86.24,6.48,92.72,Refund Processed,52,Y,1,2025
6927,306157,P032,M15,C0105,2022-04-03,4,Customer Changed Mind,Exchange,129.36,11.56,140.92,Replacement Sent,25,N,4,2022
6928,271120,P010,M08,C0010,2024-03-06,11,Wrong Product Shipped,Full Return,418.0,37.52,455.52,Refund Processed,43,N,3,2024
6929,274656,P030,M07,C0208,2023-12-03,9,Damaged in Transit,Full Return,118.8,6.61,125.41,Under Review,38,N,12,2023
6930,241445,P023,M01,C0257,2023-06-27,5,Damaged in Transit,Exchange,121.5,7.55,129.05,Under Review,8,N,6,2023
6931,127372,P031,M02,C0271,2024-12-09,6,Quality Below Expectation,Exchange,117.18,9.36,126.54,Refund Processed,18,Y,12,2024
6932,340753,P034,M07,C0082,2022-10-19,4,Damaged in Transit,Partial Return,72.0,3.82,75.82,Refund Denied,39,Y,10,2022
6933,288135,P027,M01,C0208,2024-11-08,7,Damaged in Transit,Partial Return,245.0,17.3,262.3,Refund Processed,7,Y,11,2024
6934,265243,P008,M04,C0017,2024-08-12,3,Wrong Product Shipped,Full Return,41.16,2.75,43.91,Under Review,13,Y,8,2024
6935,133032,P032,M02,C0012,2024-01-06,5,Quality Below Expectation,Exchange,165.0,14.3,179.3,Replacement Sent,43,N,1,2024
6936,214387,P030,M11,C0151,2025-01-22,14,Damaged in Transit,Partial Return,195.3,9.36,204.66,Replacement Sent,44,N,1,2025
6937,105104,P029,M02,C0203,2024-09-29,5,Quality Below Expectation,Partial Return,106.7,6.57,113.27,Refund Processed,40,Y,9,2024
6938,274951,P033,M01,C0247,2024-07-22,5,Damaged in Transit,Partial Return,114.0,7.21,121.21,Refund Processed,26,N,7,2024
6939,5794,P011,M04,C0069,2022-10-03,6,Damaged in Transit,Partial Return,282.24,27.81,310.05,Refund Processed,19,N,10,2022
6940,415879,P022,M14,C0055,2023-03-24,4,Quality Below Expectation,Partial Return,60.8,2.63,63.43,Refund Processed,37,Y,3,2023
6941,203995,P001,M02,C0154,2024-11-04,4,Packaging Damaged,Full Return,60.0,5.65,65.65,Replacement Sent,32,Y,11,2024
6942,294370,P005,M05,C0207,2023-01-23,10,Quality Below Expectation,Full Return,260.0,18.07,278.07,Refund Processed,46,N,1,2023
6943,360250,P010,M08,C0236,2022-12-24,12,Damaged in Transit,Full Return,433.2,26.17,459.37,Under Review,23,Y,12,2022
6944,137761,P004,M15,C0204,2024-10-14,9,Customer Changed Mind,Full Return,162.0,7.52,169.52,Pending Investigation,22,N,10,2024
6945,419376,P032,M01,C0138,2024-07-21,3,Quality Below Expectation,Full Return,89.1,4.5,93.6,Under Review,23,Y,7,2024
6946,275744,P036,M06,C0045,2023-06-10,4,Quality Below Expectation,Full Return,86.24,5.96,92.2,Refund Processed,43,N,6,2023
6947,494156,P024,M05,C0290,2022-05-11,3,Wrong Product Shipped,Partial Return,94.08,4.19,98.27,Refund Processed,15,Y,5,2022
6948,332005,P037,M01,C0120,2022-11-28,3,Quality Below Expectation,Full Return,36.0,1.88,37.88,Refund Processed,50,Y,11,2022
6949,85336,P038,M02,C0099,2023-08-26,6,Quality Below Expectation,Exchange,139.5,11.9,151.4,Refund Processed,35,Y,8,2023
6950,73152,P007,M01,C0031,2022-12-29,14,Quality Below Expectation,Full Return,162.96,15.2,178.16,Refund Processed,54,Y,12,2022
6951,41404,P022,M05,C0263,2022-08-23,6,Customer Changed Mind,Full Return,91.2,8.94,100.14,Refund Processed,7,Y,8,2022
6952,407769,P008,M07,C0223,2023-06-27,5,Damaged in Transit,Partial Return,61.6,3.03,64.63,Under Review,46,Y,6,2023
6953,471060,P032,M02,C0118,2023-03-25,18,Quality Below Expectation,Full Return,534.6,33.91,568.51,Pending Investigation,28,N,3,2023
6954,395791,P004,M02,C0217,2023-11-26,3,Quality Below Expectation,Full Return,50.22,4.15,54.37,Under Review,16,Y,11,2023
6955,241961,P030,M02,C0101,2022-10-17,5,Quality Below Expectation,Exchange,72.75,5.67,78.42,Refund Processed,24,Y,10,2022
6956,195654,P028,M02,C0146,2022-04-28,19,Damaged in Transit,Partial Return,401.28,28.22,429.5,Refund Processed,10,Y,4,2022
6957,434707,P028,M01,C0017,2024-09-01,7,Quality Below Expectation,Partial Return,159.6,13.41,173.01,Under Review,12,N,9,2024
6958,498928,P035,M20,C0196,2024-07-06,18,Damaged in Transit,Exchange,299.88,17.14,317.02,Replacement Sent,22,Y,7,2024
6959,389105,P020,M16,C0084,2023-06-04,9,Wrong Product Shipped,Full Return,188.1,18.79,206.89,Refund Denied,29,Y,6,2023
6960,263909,P011,M03,C0131,2023-05-22,8,Quality Below Expectation,Full Return,384.0,37.13,421.13,Refund Processed,42,Y,5,2023
6961,201962,P020,M04,C0147,2023-04-18,4,Customer Changed Mind,Full Return,83.6,5.93,89.53,Replacement Sent,21,N,4,2023
6962,91291,P018,M01,C0201,2023-06-02,14,Quality Below Expectation,Partial Return,169.26,10.65,179.91,Replacement Sent,10,Y,6,2023
6963,128659,P009,M17,C0217,2023-05-10,3,Damaged in Transit,Partial Return,57.0,3.06,60.06,Refund Processed,13,Y,5,2023
6964,115111,P015,M01,C0264,2023-10-06,23,Quality Below Expectation,Exchange,363.63,32.57,396.2,Under Review,49,Y,10,2023
6965,250006,P037,M09,C0201,2024-07-18,10,Damaged in Transit,Exchange,120.0,6.04,126.04,Replacement Sent,50,Y,7,2024
6966,442516,P024,M03,C0272,2024-01-01,4,Damaged in Transit,Full Return,128.0,11.4,139.4,Refund Processed,35,Y,1,2024
6967,358857,P008,M06,C0247,2024-07-19,3,Packaging Damaged,Partial Return,37.8,3.43,41.23,Refund Processed,9,Y,7,2024
6968,184651,P006,M06,C0248,2024-12-09,22,Not As Described,Full Return,309.76,21.73,331.49,Refund Processed,26,N,12,2024
6969,446794,P017,M03,C0160,2022-12-22,13,Quality Below Expectation,Partial Return,203.84,11.75,215.59,Under Review,8,N,12,2022
6970,326612,P026,M02,C0285,2022-11-23,14,Damaged in Transit,Partial Return,784.0,40.35,824.35,Replacement Sent,25,N,11,2022
6971,71147,P035,M10,C0016,2024-02-02,13,Packaging Damaged,Partial Return,216.58,20.76,237.34,Pending Investigation,45,Y,2,2024
6972,182535,P028,M15,C0024,2023-10-03,30,Damaged in Transit,Full Return,648.0,31.78,679.78,Pending Investigation,46,N,10,2023
6973,379215,P008,M05,C0184,2024-04-07,4,Packaging Damaged,Full Return,54.88,5.17,60.05,Pending Investigation,15,Y,4,2024
6974,318676,P020,M01,C0199,2024-12-06,5,Damaged in Transit,Partial Return,99.0,8.83,107.83,Replacement Sent,8,Y,12,2024
6975,68015,P032,M03,C0104,2022-07-17,6,Quality Below Expectation,Full Return,192.06,14.56,206.62,Under Review,22,Y,7,2022
6976,50697,P004,M05,C0076,2025-01-07,5,Customer Changed Mind,Exchange,88.2,5.58,93.78,Refund Processed,12,Y,1,2025
6977,236117,P010,M07,C0154,2022-09-23,9,Packaging Damaged,Full Return,342.0,26.83,368.83,Pending Investigation,41,Y,9,2022
6978,134279,P038,M02,C0265,2022-04-23,8,Quality Below Expectation,Full Return,196.0,11.65,207.65,Refund Processed,16,N,4,2022
6979,215308,P018,M01,C0176,2022-04-18,5,Not As Described,Full Return,58.5,5.31,63.81,Under Review,27,Y,4,2022
6980,362132,P012,M17,C0196,2023-01-10,13,Wrong Product Shipped,Exchange,277.42,23.46,300.88,Pending Investigation,42,Y,1,2023
6981,265294,P028,M10,C0278,2022-09-30,5,Customer Changed Mind,Partial Return,116.4,6.28,122.68,Refund Processed,45,Y,9,2022
6982,278026,P004,M02,C0128,2024-08-19,11,Customs Rejected,Partial Return,198.0,17.22,215.22,Refund Processed,13,Y,8,2024
6983,436605,P019,M03,C0084,2023-03-04,24,Damaged in Transit,Partial Return,600.0,56.42,656.42,Refund Processed,35,Y,3,2023
6984,425029,P009,M04,C0238,2023-03-06,9,Damaged in Transit,Full Return,171.0,15.87,186.87,Refund Processed,24,N,3,2023
6985,403648,P032,M08,C0043,2024-02-11,28,Quality Below Expectation,Full Return,877.8,50.69,928.49,Refund Processed,44,Y,2,2024
6986,362578,P039,M03,C0254,2024-02-23,9,Wrong Product Shipped,Full Return,385.02,18.62,403.64,Refund Processed,12,Y,2,2024
6987,155040,P006,M09,C0011,2024-04-15,10,Quality Below Expectation,Full Return,160.0,9.55,169.55,Replacement Sent,25,Y,4,2024
6988,397035,P005,M03,C0133,2022-01-28,19,Customer Changed Mind,Full Return,469.3,22.11,491.41,Refund Processed,14,N,1,2022
6989,449660,P034,M11,C0014,2023-01-23,4,Wrong Product Shipped,Full Return,68.4,6.3,74.7,Under Review,49,Y,1,2023
6990,131205,P029,M14,C0113,2024-04-09,4,Customer Changed Mind,Partial Return,81.84,7.18,89.02,Refund Processed,23,N,4,2024
6991,289838,P017,M04,C0208,2022-04-05,8,Quality Below Expectation,Full Return,128.0,11.87,139.87,Refund Processed,27,N,4,2022
6992,467252,P011,M01,C0294,2023-04-19,8,Packaging Damaged,Full Return,376.32,22.12,398.44,Replacement Sent,17,Y,4,2023
6993,7777,P002,M06,C0077,2025-01-12,6,Wrong Product Shipped,Partial Return,105.6,7.48,113.08,Refund Processed,41,Y,1,2025
6994,241409,P031,M01,C0134,2023-11-13,11,Damaged in Transit,Full Return,231.0,19.69,250.69,Pending Investigation,44,Y,11,2023
