country,region,category,product_name,fiscal_year,quarter,avg_trends_score,total_search_volume,avg_yoy_growth_pct,total_social_mentions,avg_amazon_bsr,total_demand_units,avg_seasonality_index,demand_classification
Spain,Europe,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q4,82.1,1007295,23.27,58069,208.0,35673,1.233,📈 Growing
Ireland,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q1,57.8,509693,23.27,45332,269.0,27476,1.018,📈 Growing
Netherlands,Europe,Storage,Woven Seagrass Floor Basket,2024,Q2,55.5,643199,23.27,37788,306.0,23847,0.917,📈 Growing
Germany,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q1,57.2,1072943,23.27,46362,271.0,27222,1.018,📈 Growing
Australia,Asia Pacific,Decor,Handmade Paper Photo Frame Set 3,2024,Q2,55.1,638028,23.27,45122,268.0,27296,0.917,📈 Growing
Singapore,Asia Pacific,Kitchen,Copper Water Bottle 750ml,2024,Q4,83.1,1111506,23.27,66839,171.0,43307,1.233,📈 Growing
Netherlands,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q2,55.6,643830,23.27,40450,307.0,23873,0.917,📈 Growing
Ireland,Europe,Decor,Warli Art Wall Plate Set of 3,2024,Q3,64.1,572141,23.27,51542,240.0,30851,1.01,📈 Growing
South Africa,Africa,Kitchen,Bamboo Serving Tray Large,2024,Q4,83.5,745331,23.27,57198,205.0,36293,1.233,📈 Growing
Canada,North America,Decor,Hand Painted Wooden Tray,2024,Q4,82.5,1427039,23.27,68211,169.0,44145,1.233,📈 Growing
Sweden,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q4,82.1,824332,23.27,60203,199.0,37326,1.233,📈 Growing
Singapore,Asia Pacific,Kitchen,Ceramic Dinner Set 12pc,2024,Q2,55.1,729758,23.26,47416,257.0,28416,0.917,📈 Growing
Australia,Asia Pacific,Storage,Woven Seagrass Floor Basket,2024,Q1,57.5,666388,23.26,44312,259.0,28519,1.018,📈 Growing
Malaysia,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q1,57.5,888130,23.26,49909,248.0,29647,1.018,📈 Growing
Japan,Asia Pacific,Decor,Hand Painted Wooden Bowl,2024,Q4,82.6,922072,23.26,56605,225.0,33152,1.233,📈 Growing
South Africa,Africa,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q4,83.0,741029,23.25,58919,206.0,36083,1.233,📈 Growing
France,Europe,Decor,Macrame Wall Hanging Small,2024,Q2,55.9,863270,23.25,41548,291.0,25112,0.917,📈 Growing
Canada,North America,Furniture,Cane Rattan Side Table,2024,Q4,82.3,1424852,23.25,72130,169.0,44077,1.233,📈 Growing
UK,Europe,Rugs,Jute Braided Area Rug 4x6ft,2024,Q1,57.3,1326724,23.25,52850,239.0,31038,1.018,📈 Growing
Netherlands,Europe,Storage,Jute Cotton Laundry Basket,2024,Q3,64.0,749002,23.24,47219,266.0,27774,1.01,📈 Growing
New Zealand,Asia Pacific,Decor,Macrame Wall Hanging Small,2024,Q4,82.7,622581,23.24,65149,187.0,39800,1.233,📈 Growing
Portugal,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q2,55.6,429024,23.24,38933,321.0,22755,0.917,📈 Growing
Spain,Europe,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q2,55.2,669800,23.24,40102,308.0,23706,0.917,📈 Growing
Germany,Europe,Garden,Terracotta Planter Large,2024,Q3,64.8,1228798,23.24,50632,237.0,31179,1.01,📈 Growing
Japan,Asia Pacific,Decor,Warli Art Wall Plate Set of 3,2024,Q4,82.7,922682,23.24,52594,224.0,33169,1.233,📈 Growing
Malaysia,Asia Pacific,Lighting,Bamboo Table Lamp,2024,Q3,63.8,995672,23.24,56559,222.0,33237,1.01,📈 Growing
Canada,North America,Textiles,Hand Block Print Bedsheet Set,2024,Q1,57.1,976978,23.23,51572,244.0,30208,1.018,📈 Growing
Italy,Europe,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q1,57.4,759230,23.23,40546,287.0,25770,1.018,📈 Growing
Malaysia,Asia Pacific,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q1,57.3,884661,23.22,48391,251.0,29530,1.018,📈 Growing
Portugal,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q2,55.0,424974,23.22,36374,325.0,22540,0.917,📈 Growing
Japan,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,2024,Q2,54.8,604171,23.22,37534,336.0,21704,0.917,📈 Growing
New Zealand,Asia Pacific,Decor,Recycled Glass Vase Set of 2,2024,Q2,55.0,409684,23.22,42962,279.0,26179,0.917,📈 Growing
Japan,Asia Pacific,Decor,Madhubani Art Canvas Print Large,2024,Q4,83.2,929344,23.22,54984,223.0,33411,1.233,📈 Growing
UAE,Middle East,Kitchen,Bamboo Cutting Board Set of 3,2024,Q3,64.2,1718818,23.22,57935,203.0,36478,1.01,📈 Growing
Sweden,Europe,Textiles,Hand Block Print Bedsheet Set,2024,Q4,83.5,838152,23.22,60690,196.0,37955,1.233,📈 Growing
USA,North America,Storage,Jute Cotton Laundry Basket,2024,Q4,81.5,4179227,23.22,77888,155.0,47924,1.233,📈 Growing
Italy,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q3,63.8,853586,23.22,50578,255.0,28971,1.01,📈 Growing
Saudi Arabia,Middle East,Decor,Warli Art Wall Plate Set of 3,2024,Q3,64.4,1471619,23.21,54622,214.0,34414,1.01,📈 Growing
Netherlands,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q2,55.2,638891,23.21,38403,309.0,23690,0.917,📈 Growing
UK,Europe,Decor,Macrame Wall Hanging Large,2024,Q2,55.3,1281942,23.21,50081,244.0,29993,0.917,📈 Growing
New Zealand,Asia Pacific,Bath,Bamboo Toothbrush Holder Set,2024,Q1,57.6,428986,23.21,45740,269.0,27412,1.018,📈 Growing
Saudi Arabia,Middle East,Decor,Handmade Soy Candle Set of 3,2024,Q3,64.0,1462472,23.21,56378,216.0,34200,1.01,📈 Growing
France,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q2,55.1,851485,23.2,42936,295.0,24773,0.917,📈 Growing
Saudi Arabia,Middle East,Kitchen,Teak Wood Salad Bowl Large,2024,Q2,55.0,1242683,23.2,47746,252.0,29049,0.917,📈 Growing
France,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q4,82.5,1288338,23.2,61582,198.0,37501,1.233,📈 Growing
France,Europe,Decor,Jute Rope Mirror Frame Round,2024,Q1,57.5,888529,23.2,41633,285.0,25851,1.018,📈 Growing
Singapore,Asia Pacific,Decor,Handmade Soy Candle Large,2024,Q2,55.8,738652,23.2,50428,254.0,28758,0.917,📈 Growing
Saudi Arabia,Middle East,Decor,Handmade Soy Candle Set of 3,2024,Q1,57.7,1305645,23.19,52179,242.0,30528,1.018,📈 Growing
France,Europe,Kitchen,Copper Water Bottle 1L,2024,Q1,57.6,889018,23.19,41063,285.0,25863,1.018,📈 Growing
Portugal,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q2,54.9,423930,23.19,38200,325.0,22488,0.917,📈 Growing
Canada,North America,Decor,Handmade Paper Photo Frame Set 3,2024,Q2,55.2,943448,23.18,47095,251.0,29176,0.917,📈 Growing
Portugal,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q2,55.2,425938,23.18,35673,324.0,22591,0.917,📈 Growing
Japan,Asia Pacific,Storage,Jute Cotton Laundry Basket,2024,Q4,83.0,926377,23.18,57679,224.0,33306,1.233,📈 Growing
Germany,Europe,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q4,82.5,1566036,23.18,65784,188.0,39750,1.233,📈 Growing
New Zealand,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q2,55.1,410494,23.18,41579,279.0,26226,0.917,📈 Growing
UAE,Middle East,Textiles,Block Print Cotton Table Runner,2024,Q2,54.9,1453063,23.18,51363,237.0,30829,0.917,📈 Growing
Kuwait,Middle East,Decor,Recycled Glass Vase Set of 2,2024,Q2,55.1,608025,23.18,46861,250.0,29139,0.917,📈 Growing
Canada,North America,Decor,Madhubani Art Canvas Print Large,2024,Q2,55.3,945190,23.18,46533,250.0,29225,0.917,📈 Growing
Italy,Europe,Textiles,Block Print Cotton Table Runner,2024,Q3,64.7,865073,23.17,49957,251.0,29374,1.01,📈 Growing
France,Europe,Lighting,Bamboo Table Lamp,2024,Q4,82.6,1289630,23.17,65058,198.0,37540,1.233,📈 Growing
UAE,Middle East,Kitchen,Bamboo Cutting Board Set of 3,2024,Q4,82.3,2201771,23.17,76758,159.0,46740,1.233,📈 Growing
Portugal,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,57.4,443090,23.17,37130,314.0,23501,1.018,📈 Growing
Canada,North America,Textiles,Kantha Quilt Throw Blanket,2024,Q1,57.3,980451,23.16,51973,244.0,30315,1.018,📈 Growing
Saudi Arabia,Middle East,Bath,Bamboo Toothbrush Holder Set,2024,Q4,81.4,1863111,23.16,73759,171.0,43577,1.233,📈 Growing
Spain,Europe,Garden,Terracotta Planter Set of 3,2024,Q2,55.5,673135,23.16,41194,307.0,23828,0.917,📈 Growing
Italy,Europe,Decor,Jute Rope Mirror Frame Round,2024,Q4,82.8,1108635,23.16,60193,198.0,37656,1.233,📈 Growing
USA,North America,Rugs,Jute Braided Area Rug 2x3ft,2024,Q4,83.5,4285289,23.16,83315,151.0,49142,1.233,📈 Growing
Saudi Arabia,Middle East,Storage,Woven Seagrass Floor Basket,2024,Q1,57.3,1295582,23.16,50899,243.0,30291,1.018,📈 Growing
Netherlands,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q3,64.3,752360,23.16,45751,265.0,27898,1.01,📈 Growing
Sweden,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q3,64.2,644143,23.16,49425,253.0,29157,1.01,📈 Growing
Singapore,Asia Pacific,Textiles,Block Print Cotton Napkin Set of 6,2024,Q4,82.4,1103219,23.16,68036,173.0,42979,1.233,📈 Growing
New Zealand,Asia Pacific,Furniture,Cane Rattan Side Table,2024,Q2,54.9,408402,23.16,44276,280.0,26095,0.917,📈 Growing
Saudi Arabia,Middle East,Decor,Macrame Wall Hanging Small,2024,Q1,57.1,1291571,23.16,50454,244.0,30200,1.018,📈 Growing
Germany,Europe,Lighting,Bamboo Table Lamp,2024,Q2,55.2,1034773,23.15,44838,278.0,26251,0.917,📈 Growing
Malaysia,Asia Pacific,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q2,55.6,858072,23.15,47919,255.0,28638,0.917,📈 Growing
Ireland,Europe,Storage,Woven Seagrass Floor Basket,2024,Q3,64.5,575724,23.15,52070,238.0,31045,1.01,📈 Growing
Canada,North America,Decor,Handmade Soy Candle Large,2024,Q3,64.2,1109124,23.15,56590,215.0,34301,1.01,📈 Growing
Italy,Europe,Furniture,Cane Rattan Side Table,2024,Q3,64.6,864543,23.15,49451,252.0,29350,1.01,📈 Growing
Italy,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q1,57.7,764192,23.15,41721,285.0,25939,1.018,📈 Growing
Singapore,Asia Pacific,Furniture,Cane Rattan Side Table,2024,Q1,57.7,763021,23.15,48903,249.0,29711,1.018,📈 Growing
Sweden,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q1,57.9,574279,23.15,43407,284.0,25993,1.018,📈 Growing
Australia,Asia Pacific,Storage,Jute Cotton Laundry Basket,2024,Q2,55.1,638067,23.15,43870,268.0,27300,0.917,📈 Growing
Kuwait,Middle East,Storage,Handwoven Jute Storage Basket Large,2024,Q4,81.7,911331,23.15,72054,170.0,43705,1.233,📈 Growing
Italy,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q4,81.9,1097168,23.15,63585,200.0,37255,1.233,📈 Growing
South Africa,Africa,Decor,Brass Tealight Holder Set of 4,2024,Q1,57.2,504619,23.14,39615,300.0,24561,1.018,📈 Growing
Netherlands,Europe,Textiles,Block Print Cotton Table Runner,2024,Q1,57.7,667979,23.14,39570,298.0,24763,1.018,📈 Growing
Japan,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,2024,Q1,57.9,638227,23.14,38066,321.0,22929,1.018,📈 Growing
Canada,North America,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q4,82.9,1434714,23.14,70599,167.0,44387,1.233,📈 Growing
South Africa,Africa,Kitchen,Ceramic Mug Set of 4,2024,Q2,55.2,487026,23.14,41972,309.0,23701,0.917,📈 Growing
UAE,Middle East,Decor,Handmade Paper Photo Frame Set 3,2024,Q4,82.7,2213814,23.14,74421,158.0,46997,1.233,📈 Growing
Italy,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q3,63.8,854324,23.13,46591,255.0,29003,1.01,📈 Growing
Canada,North America,Lighting,Rattan Pendant Lamp Shade,2024,Q2,55.5,948909,23.13,45337,249.0,29338,0.917,📈 Growing
South Africa,Africa,Lighting,Bamboo Table Lamp,2024,Q2,55.1,486287,23.13,37342,309.0,23662,0.917,📈 Growing
Netherlands,Europe,Storage,Jute Cotton Laundry Basket,2024,Q2,55.2,639298,23.13,37763,309.0,23701,0.917,📈 Growing
South Africa,Africa,Decor,Handmade Soy Candle Set of 3,2024,Q3,64.2,572704,23.13,45210,265.0,27878,1.01,📈 Growing
Canada,North America,Decor,Macrame Plant Hanger Set of 3,2024,Q3,64.4,1112969,23.13,56464,214.0,34421,1.01,📈 Growing
Canada,North America,Kitchen,Bamboo Cutting Board Set of 3,2024,Q2,55.1,942549,23.13,46748,251.0,29145,0.917,📈 Growing
Ireland,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q3,64.2,572472,23.12,51067,239.0,30871,1.01,📈 Growing
Malaysia,Asia Pacific,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q3,65.5,1023311,23.12,56713,216.0,34164,1.01,📈 Growing
Ireland,Europe,Decor,Handmade Soy Candle Large,2024,Q1,57.6,508169,23.12,45426,269.0,27398,1.018,📈 Growing
Italy,Europe,Kitchen,Ceramic Dinner Set 12pc,2024,Q4,82.6,1106123,23.12,63360,198.0,37562,1.233,📈 Growing
Malaysia,Asia Pacific,Kitchen,Ceramic Dinner Set 12pc,2024,Q3,64.3,1003184,23.11,55883,220.0,33490,1.01,📈 Growing
Singapore,Asia Pacific,Decor,Macrame Wall Hanging Large,2024,Q3,63.8,854073,23.11,54878,222.0,33265,1.01,📈 Growing
Portugal,Europe,Decor,Macrame Wall Hanging Large,2024,Q1,57.8,446489,23.11,36845,312.0,23681,1.018,📈 Growing
Sweden,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q4,83.4,838709,23.11,64330,196.0,37981,1.233,📈 Growing
Kuwait,Middle East,Textiles,Block Print Cotton Table Runner,2024,Q4,83.1,927581,23.11,70758,167.0,44480,1.233,📈 Growing
Singapore,Asia Pacific,Storage,Woven Seagrass Floor Basket,2024,Q2,54.6,723130,23.11,46361,260.0,28159,0.917,📈 Growing
Singapore,Asia Pacific,Rugs,Jute Braided Area Rug 4x6ft,2024,Q3,64.3,859900,23.1,53904,221.0,33490,1.01,📈 Growing
France,Europe,Lighting,Bamboo Table Lamp,2024,Q1,57.5,888378,23.1,43530,286.0,25845,1.018,📈 Growing
USA,North America,Decor,Hand Painted Wooden Tray,2024,Q4,82.8,4245747,23.1,79179,152.0,48691,1.233,📈 Growing
UAE,Middle East,Decor,Handmade Paper Photo Frame Set 3,2024,Q3,64.4,1723599,23.1,62034,202.0,36587,1.01,📈 Growing
France,Europe,Decor,Macrame Wall Hanging Small,2024,Q4,81.8,1276969,23.1,58937,201.0,37169,1.233,📈 Growing
Singapore,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q1,58.1,768499,23.1,48245,247.0,29934,1.018,📈 Growing
Australia,Asia Pacific,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q1,56.9,658763,23.1,46663,262.0,28190,1.018,📈 Growing
Malaysia,Asia Pacific,Decor,Handmade Soy Candle Set of 3,2024,Q1,57.2,883675,23.09,47308,251.0,29492,1.018,📈 Growing
France,Europe,Textiles,Block Print Cotton Table Runner,2024,Q2,55.7,859863,23.09,40167,292.0,25016,0.917,📈 Growing
Canada,North America,Storage,Woven Seagrass Floor Basket,2024,Q2,55.2,943174,23.09,47641,251.0,29162,0.917,📈 Growing
Singapore,Asia Pacific,Kitchen,Teak Wood Salad Bowl Large,2024,Q4,82.2,1101397,23.09,71007,173.0,42910,1.233,📈 Growing
USA,North America,Decor,Recycled Glass Vase Set of 2,2024,Q1,57.3,2906039,23.09,55977,222.0,33311,1.018,📈 Growing
Netherlands,Europe,Kitchen,Ceramic Dinner Set 12pc,2024,Q4,83.4,976408,23.09,60393,205.0,36228,1.233,📈 Growing
Canada,North America,Storage,Woven Seagrass Floor Basket,2024,Q4,83.1,1437817,23.08,69347,167.0,44476,1.233,📈 Growing
Spain,Europe,Decor,Recycled Glass Vase Set of 2,2024,Q3,63.9,783779,23.08,45903,266.0,27743,1.01,📈 Growing
Spain,Europe,Garden,Terracotta Planter Set of 3,2024,Q4,83.8,1028527,23.08,61305,204.0,36421,1.233,📈 Growing
Japan,Asia Pacific,Textiles,Block Print Cotton Napkin Set of 6,2024,Q4,83.0,926556,23.08,54003,224.0,33309,1.233,📈 Growing
South Africa,Africa,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,57.1,504192,23.08,40565,301.0,24532,1.018,📈 Growing
UAE,Middle East,Decor,Hand Painted Wooden Bowl,2024,Q4,81.8,2191829,23.08,78658,160.0,46534,1.233,📈 Growing
Australia,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q2,55.1,637731,23.07,45399,268.0,27287,0.917,📈 Growing
Italy,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q2,54.8,724919,23.07,40796,297.0,24604,0.917,📈 Growing
Malaysia,Asia Pacific,Rugs,Jute Braided Area Rug 2x3ft,2024,Q2,55.2,852595,23.07,45412,256.0,28452,0.917,📈 Growing
Japan,Asia Pacific,Kitchen,Copper Water Bottle 1L,2024,Q1,57.7,635962,23.07,35980,323.0,22851,1.018,📈 Growing
UK,Europe,Decor,Hand Painted Wooden Tray,2024,Q1,57.3,1327238,23.07,54778,238.0,31053,1.018,📈 Growing
Sweden,Europe,Decor,Hand Painted Wooden Bowl,2024,Q3,64.1,643368,23.07,47204,254.0,29121,1.01,📈 Growing
Ireland,Europe,Textiles,Hand Block Print Bedsheet Set,2024,Q1,57.3,505563,23.07,47322,271.0,27256,1.018,📈 Growing
Sweden,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,57.4,569749,23.07,41262,286.0,25787,1.018,📈 Growing
Italy,Europe,Garden,Terracotta Planter Large,2024,Q4,83.1,1113081,23.07,63917,197.0,37804,1.233,📈 Growing
Japan,Asia Pacific,Decor,Recycled Glass Vase Set of 2,2024,Q4,82.8,923977,23.06,53896,224.0,33222,1.233,📈 Growing
USA,North America,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q2,55.0,2788542,23.06,53606,229.0,31967,0.917,📈 Growing
Canada,North America,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q3,64.3,1112179,23.06,54815,215.0,34395,1.01,📈 Growing
France,Europe,Decor,Hand Painted Wooden Tray,2024,Q2,54.6,843491,23.06,39421,298.0,24541,0.917,📈 Growing
UK,Europe,Rugs,Jute Braided Area Rug 2x3ft,2024,Q3,63.5,1487054,23.06,56669,212.0,34796,1.01,📈 Growing
Italy,Europe,Kitchen,Copper Water Bottle 1L,2024,Q2,55.4,733732,23.06,41115,294.0,24903,0.917,📈 Growing
Australia,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q1,58.0,671740,23.06,46082,257.0,28747,1.018,📈 Growing
Saudi Arabia,Middle East,Decor,Brass Tealight Holder Set of 4,2024,Q2,54.8,1239415,23.06,49494,252.0,28976,0.917,📈 Growing
Ireland,Europe,Decor,Madhubani Art Canvas Print Large,2024,Q4,83.1,741822,23.06,68339,186.0,40015,1.233,📈 Growing
Ireland,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q2,55.0,485189,23.06,42271,279.0,26156,0.917,📈 Growing
South Africa,Africa,Furniture,Cane Rattan Side Table,2024,Q1,57.1,503694,23.05,39783,301.0,24513,1.018,📈 Growing
USA,North America,Rugs,Jute Braided Area Rug 2x3ft,2024,Q1,57.6,2924949,23.05,55291,220.0,33531,1.018,📈 Growing
Germany,Europe,Decor,Recycled Glass Vase Set of 2,2024,Q3,64.4,1219972,23.05,48055,239.0,30957,1.01,📈 Growing
Sweden,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q2,55.4,550235,23.05,41648,294.0,24897,0.917,📈 Growing
Sweden,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q3,63.8,639891,23.05,48405,255.0,28966,1.01,📈 Growing
UAE,Middle East,Garden,Terracotta Planter Large,2024,Q2,55.0,1454743,23.05,50155,237.0,30868,0.917,📈 Growing
UAE,Middle East,Decor,Handmade Soy Candle Large,2024,Q3,64.5,1724981,23.05,61164,202.0,36610,1.01,📈 Growing
Ireland,Europe,Garden,Terracotta Planter Large,2024,Q2,55.5,489853,23.04,43539,277.0,26412,0.917,📈 Growing
UK,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q1,57.6,1334925,23.04,53451,236.0,31233,1.018,📈 Growing
Italy,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q4,82.1,1098254,23.04,60413,199.0,37299,1.233,📈 Growing
Germany,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q3,64.2,1217969,23.03,53669,239.0,30907,1.01,📈 Growing
Germany,Europe,Decor,Recycled Glass Vase Set of 2,2024,Q4,83.2,1580445,23.03,65111,186.0,40117,1.233,📈 Growing
UK,Europe,Textiles,Hand Block Print Bedsheet Set,2024,Q2,54.6,1264531,23.03,51330,247.0,29581,0.917,📈 Growing
South Africa,Africa,Rugs,Jute Braided Area Rug 4x6ft,2024,Q2,55.4,488931,23.03,38945,307.0,23794,0.917,📈 Growing
Saudi Arabia,Middle East,Kitchen,Ceramic Dinner Set 12pc,2024,Q4,82.9,1896046,23.03,72329,168.0,44353,1.233,📈 Growing
Singapore,Asia Pacific,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q4,82.9,1111297,23.03,73442,172.0,43293,1.233,📈 Growing
UAE,Middle East,Kitchen,Copper Water Bottle 750ml,2024,Q3,63.8,1708574,23.03,57461,203.0,36264,1.01,📈 Growing
Italy,Europe,Kitchen,Copper Water Bottle 750ml,2024,Q1,58.1,768364,23.03,41274,283.0,26083,1.018,📈 Growing
Singapore,Asia Pacific,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q2,55.4,733234,23.03,49762,256.0,28551,0.917,📈 Growing
Germany,Europe,Storage,Woven Seagrass Floor Basket,2024,Q3,64.4,1220292,23.02,49343,238.0,30966,1.01,📈 Growing
Japan,Asia Pacific,Kitchen,Bamboo Cutting Board Set of 3,2024,Q2,55.2,609036,23.02,33813,334.0,21877,0.917,📈 Growing
Australia,Asia Pacific,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q4,82.5,966653,23.02,69395,180.0,41385,1.233,📈 Growing
Kuwait,Middle East,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q1,57.1,629274,23.02,49091,244.0,30164,1.018,📈 Growing
UAE,Middle East,Decor,Warli Art Wall Plate Set of 3,2024,Q4,83.2,2234127,23.02,78759,157.0,47434,1.233,📈 Growing
Spain,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q4,82.6,1013241,23.02,59884,208.0,35881,1.233,📈 Growing
Australia,Asia Pacific,Decor,Brass Tealight Holder Set of 4,2024,Q3,64.6,756356,23.02,51890,228.0,32371,1.01,📈 Growing
Germany,Europe,Decor,Hand Painted Wooden Tray,2024,Q3,63.2,1198687,23.02,49596,243.0,30418,1.01,📈 Growing
USA,North America,Kitchen,Bamboo Serving Tray Large,2024,Q4,83.0,4261636,23.01,80076,152.0,48874,1.233,📈 Growing
Saudi Arabia,Middle East,Kitchen,Bamboo Cutting Board Set of 3,2024,Q4,82.9,1894786,23.01,66549,167.0,44322,1.233,📈 Growing
South Africa,Africa,Storage,Woven Seagrass Floor Basket,2024,Q1,57.7,509512,23.01,42234,298.0,24798,1.018,📈 Growing
UK,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q4,83.2,1948066,23.01,73554,163.0,45594,1.233,📈 Growing
Singapore,Asia Pacific,Decor,Hand Painted Wooden Bowl,2024,Q2,54.6,722981,23.01,47046,260.0,28154,0.917,📈 Growing
Sweden,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q1,57.9,574300,23.01,41457,284.0,25992,1.018,📈 Growing
Netherlands,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q3,64.1,750002,23.0,45553,265.0,27816,1.01,📈 Growing
France,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q2,54.8,847021,23.0,39533,296.0,24640,0.917,📈 Growing
Canada,North America,Decor,Recycled Glass Vase Set of 2,2024,Q1,57.7,986459,23.0,51065,243.0,30503,1.018,📈 Growing
Kuwait,Middle East,Kitchen,Ceramic Dinner Set 12pc,2024,Q1,56.9,627949,23.0,51546,245.0,30097,1.018,📈 Growing
Spain,Europe,Kitchen,Teak Wood Cheese Board,2024,Q4,82.8,1015670,23.0,56142,207.0,35969,1.233,📈 Growing
Ireland,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q3,64.4,574094,22.99,49768,238.0,30963,1.01,📈 Growing
New Zealand,Asia Pacific,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q4,83.9,631474,22.99,61890,184.0,40374,1.233,📈 Growing
Netherlands,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q1,58.2,673549,22.99,42069,296.0,24977,1.018,📈 Growing
Italy,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q1,57.6,761956,22.99,42582,285.0,25862,1.018,📈 Growing
Singapore,Asia Pacific,Storage,Handwoven Jute Storage Basket Large,2024,Q1,56.8,751679,22.99,48134,252.0,29271,1.018,📈 Growing
Saudi Arabia,Middle East,Decor,Handmade Soy Candle Set of 3,2024,Q4,82.9,1896067,22.99,72629,168.0,44349,1.233,📈 Growing
UAE,Middle East,Rugs,Jute Braided Area Rug 4x6ft,2024,Q2,55.4,1466133,22.98,49677,235.0,31110,0.917,📈 Growing
France,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q2,55.5,857096,22.98,41739,293.0,24928,0.917,📈 Growing
Saudi Arabia,Middle East,Textiles,Block Print Cotton Napkin Set of 6,2024,Q2,55.7,1260153,22.98,49506,248.0,29460,0.917,📈 Growing
Germany,Europe,Kitchen,Copper Water Bottle 1L,2024,Q4,82.1,1556364,22.98,66884,189.0,39510,1.233,📈 Growing
Singapore,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,2024,Q3,63.8,853221,22.97,54655,222.0,33234,1.01,📈 Growing
Canada,North America,Decor,Macrame Wall Hanging Small,2024,Q1,57.9,990130,22.97,50062,242.0,30617,1.018,📈 Growing
Sweden,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q4,83.3,836343,22.97,65881,197.0,37872,1.233,📈 Growing
France,Europe,Kitchen,Teak Wood Cheese Board,2024,Q1,56.8,877866,22.97,40896,290.0,25536,1.018,📈 Growing
Sweden,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q3,64.3,645565,22.97,47420,253.0,29223,1.01,📈 Growing
South Africa,Africa,Decor,Madhubani Art Canvas Print Large,2024,Q1,57.4,506656,22.96,40168,300.0,24655,1.018,📈 Growing
